Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,84776.000,0,3.219269,3.348068,0.06298828,0.0381012,0.9972839,0.09683228,0.02940369,0.9948578,
Calibration,84868.000,0,3.121445,3.279404,0.04379272,0.0100708,0.9989777,0.09945679,0.03106689,0.9945526,
Calibration,84951.000,0,2.876938,3.057922,0.03242493,0.07389832,0.9967346,0.03146362,0.08444214,0.9959259,
Calibration,85059.000,0,2.740601,2.888306,0.03457642,0.0712738,0.9968414,0.03649902,0.08074951,0.9960632,
Calibration,85159.000,0,2.431686,2.613739,0.03643799,-0.1507568,0.9878845,0.04307556,-0.1558685,0.9868317,
Calibration,85267.000,0,2.561691,2.586136,0.06503296,-0.2662201,0.9617004,0.06925964,-0.254715,0.9645233,
Calibration,85376.000,0,2.446976,2.639908,0.126358,-0.3626404,0.9233093,0.1277161,-0.350174,0.9279175,
Calibration,85484.000,0,2.697769,2.801483,0.1052246,-0.3194427,0.9417267,0.1292572,-0.3227386,0.9376068,
Calibration,85576.000,0,2.757813,2.855484,0.01217651,0.1719818,0.9850159,0.0005645752,0.1662445,0.9860687,
Calibration,85676.000,0,2.782028,2.971939,0.01011658,0.1607666,0.9869232,0.0138855,0.17276,0.9848633,
Calibration,85784.000,0,2.868988,2.965302,0.008453369,0.1542206,0.9879913,0.01647949,0.1598969,0.9869843,
Calibration,85876.000,0,4.768692,3.853546,-0.01925659,-0.08351135,0.9963074,-0.00743103,-0.01530457,0.9998474,
Calibration,85959.000,0,3.107666,3.143158,-0.001342773,0.1705627,0.9853363,0.009078979,0.16922,0.9855347,
Calibration,86042.000,0,3.166779,3.273911,-0.004623413,0.1668549,0.9859619,0.007217407,0.1641235,0.9864044,
Calibration,86126.000,0,3.238022,3.300446,-0.003646851,0.1721039,0.9850616,0.009384155,0.1667633,0.9859467,
Calibration,86209.000,0,3.304718,3.397903,-0.005477905,0.1729736,0.9849091,0.007781982,0.1645203,0.9863281,
Calibration,86292.000,0,3.329224,3.571243,-0.005172729,0.1733246,0.984848,0.006622314,0.1717682,0.9851074,
Calibration,86376.000,0,3.382904,3.555649,-0.01077271,0.1743774,0.9846039,0.004318237,0.1703186,0.9853668,
Calibration,86459.000,0,3.446548,3.585281,-0.01081848,0.1714325,0.9851227,0.004562378,0.1707306,0.9852905,
Calibration,86542.000,0,3.497223,3.667542,-0.01477051,0.1743622,0.9845581,0.001953125,0.1700287,0.9854279,
Calibration,86626.000,0,3.617264,3.781921,0.04347229,0.1963654,0.9795532,0.05508423,0.1894989,0.9803314,
Calibration,86709.000,0,3.625214,3.778091,0.04626465,0.1948853,0.9797211,0.06692505,0.1927185,0.9789581,
Calibration,86792.000,0,3.643814,3.790283,0.04794312,0.1919098,0.9802246,0.06613159,0.1951752,0.9785309,
Calibration,86876.000,0,3.658417,3.78923,0.04379272,0.1959686,0.9796143,0.06613159,0.1957703,0.9784088,
Calibration,86959.000,0,3.715179,3.839783,0.04194641,0.1997986,0.9789276,0.06439209,0.1967316,0.9783325,
Calibration,87042.000,0,3.853027,3.979416,-0.06521606,0.1451416,0.9872437,-0.03971863,0.1374664,0.9897003,
Calibration,87126.000,0,3.793747,3.968658,-0.07368469,0.1468048,0.9864044,-0.05810547,0.1194458,0.9911346,
Calibration,87209.000,0,3.851379,3.968689,-0.07221985,0.1482391,0.9862976,-0.05969238,0.1221008,0.9907074,
Calibration,87292.000,0,3.884796,4.014954,-0.07286072,0.1466522,0.986496,-0.06118774,0.1289978,0.9897461,
Calibration,87375.000,0,3.9617,4.071365,-0.07489014,0.1481476,0.9861145,-0.06190491,0.1345825,0.9889526,
Calibration,87459.000,0,4.142059,4.202057,-0.08091736,0.05671692,0.9951019,-0.05625916,0.05654907,0.9968109,
Calibration,87542.000,0,4.128067,4.136917,-0.06182861,0.02554321,0.997757,-0.03695679,0.01446533,0.9992065,
Calibration,87625.000,0,4.2173,4.199875,-0.06414795,0.02218628,0.9976807,-0.03590393,0.005050659,0.9993286,
Calibration,87709.000,0,4.257431,4.228424,-0.06474304,0.02474976,0.9975891,-0.03955078,0.01062012,0.9991608,
Calibration,87792.000,0,4.307938,4.302109,-0.06115723,0.0262146,0.9977722,-0.04031372,0.01242065,0.9990997,
Calibration,87875.000,0,4.316345,4.322144,-0.06202698,0.02772522,0.9976807,-0.03997803,0.01489258,0.9990845,
Calibration,87959.000,0,4.348343,4.376495,-0.06234741,0.02684021,0.9976807,-0.0428772,0.01670837,0.9989319,
Calibration,88042.000,0,4.385773,4.422821,-0.06700134,0.02935791,0.9973145,-0.042099,0.02638245,0.998764,
Calibration,88125.000,0,4.468979,4.427429,-0.06942749,0.0302124,0.9971161,-0.04190063,0.03140259,0.9986267,
Calibration,88209.000,0,4.354034,4.4104,-0.09533691,0.00982666,0.9953918,-0.06222534,0.01478577,0.9979401,
Calibration,88292.000,0,4.374405,4.409241,-0.1233521,-0.01017761,0.9922943,-0.06788635,-0.009277344,0.9976349,
Calibration,88375.000,0,4.4944,4.450684,-0.1267548,0.005523682,0.9919128,-0.06700134,-0.008178711,0.9977112,
Calibration,88459.000,0,4.452805,4.452194,-0.1225891,0.01515198,0.9923401,-0.07214355,0.002868652,0.9973755,
Calibration,88542.000,0,4.495407,4.528351,-0.1198578,0.01397705,0.9926758,-0.07124329,0.005020142,0.9974365,
Calibration,88625.000,0,4.506653,4.532028,-0.1172333,0.02581787,0.9927673,-0.07339478,0.01348877,0.9972076,
Calibration,88709.000,0,4.531921,4.567291,-0.118927,0.02796936,0.9924927,-0.07313538,0.01832581,0.9971466,
Calibration,88792.000,0,4.576828,4.591934,-0.1185913,0.03289795,0.9923859,-0.07899475,0.02186584,0.9966278,
Calibration,88875.000,0,4.621475,4.642853,-0.1186523,0.03691101,0.9922333,-0.07897949,0.02503967,0.9965515,
Calibration,88959.000,0,4.643967,4.676849,-0.1152039,0.04252625,0.9924164,-0.07981873,0.02868652,0.9963837,
Calibration,89042.000,0,4.629761,4.649597,-0.09733582,0.0448761,0.9942322,-0.06315613,0.03720093,0.9972992,
Calibration,89125.000,0,4.615509,4.712814,0.009963989,0.1140137,0.9934235,0.03286743,0.1361389,0.9901428,
Calibration,89209.000,0,4.624512,4.745544,0.01037598,0.1170959,0.9930573,0.03146362,0.1379395,0.9899292,
Calibration,89292.000,0,-1,3.308121,0,0,0,0.1662292,-0.01512146,0.9859619,
Calibration,89375.000,0,-1,-1,0,0,0,0,0,0,
Calibration,89458.000,0,4.83429,4.965591,0.3524933,0.2062378,0.912796,0.394165,0.2319794,0.889267,
Calibration,89542.000,0,4.825699,4.962402,0.3498535,0.206955,0.9136505,0.3882904,0.2322845,0.8917694,
Calibration,89625.000,0,4.890991,4.938705,0.3450928,0.2080688,0.9152069,0.3876953,0.2327728,0.8919067,
Calibration,89708.000,0,4.886093,4.946793,0.3448486,0.2086487,0.9151611,0.3853149,0.2335663,0.8927307,
Calibration,89792.000,0,4.656723,4.909958,0.1115112,0.1789551,0.9775085,0.1347504,0.1850128,0.9734497,
Calibration,89875.000,0,4.68483,4.882401,0.08985901,0.1674194,0.9817657,0.1193085,0.1854858,0.9753723,
Calibration,89958.000,0,4.80484,4.956055,0.08439636,0.1598969,0.9835052,0.1220398,0.1751251,0.976944,
Calibration,90042.000,0,4.807953,4.812607,0.02571106,0.1751404,0.9841919,0.01815796,0.1424866,0.989624,
Calibration,90125.000,0,4.885925,5.069199,-0.003662109,0.1434784,0.9896393,0.01669312,0.1650085,0.986145,
Calibration,90208.000,0,4.793121,4.998932,-0.00541687,0.1443787,0.989502,0.01690674,0.1620026,0.9866333,
Calibration,90292.000,0,4.782303,5.008987,-0.007492065,0.1486053,0.9888611,0.01542664,0.162674,0.986557,
Calibration,90375.000,0,4.778656,4.986008,-0.007965088,0.1527405,0.9882202,0.01542664,0.1636047,0.9863892,
Calibration,90458.000,0,4.822235,4.975388,-0.008544922,0.1581879,0.9873657,0.01586914,0.1659546,0.9859924,
Calibration,90541.000,0,4.70076,5.011032,0.03248596,0.01452637,0.9993591,0.05575562,0.04380798,0.9974823,
Calibration,90625.000,0,4.835052,5.039825,0.02548218,0.02218628,0.9994202,0.05516052,0.04255676,0.9975586,
Calibration,90708.000,0,4.881393,5.106094,0.02546692,0.02255249,0.9994202,0.05456543,0.04612732,0.9974365,
Calibration,90791.000,0,4.951447,5.150024,0.02514648,0.0242157,0.9993896,0.04943848,0.04638672,0.9976959,
Calibration,90875.000,0,4.943054,5.166092,0.02648926,0.02384949,0.9993591,0.04972839,0.04719543,0.9976349,
Calibration,90958.000,0,4.948975,5.176361,0.02760315,0.02531433,0.9992828,0.0480957,0.05079651,0.9975433,
Calibration,91041.000,0,5.152924,5.277512,0.0463562,0.3395538,0.9394379,0.02854919,0.3581543,0.9332123,
Calibration,91125.000,0,5.044495,5.313965,0.04151917,0.34375,0.9381256,0.03181458,0.3682251,0.929184,
Calibration,91208.000,0,5.061371,5.293381,0.03797913,0.3365479,0.9408875,0.03166199,0.3671722,0.9296112,
Calibration,91291.000,0,5.109512,5.301178,0.03251648,0.329483,0.9435883,0.03323364,0.360611,0.9321136,
Calibration,91375.000,0,5.184601,5.358566,0.0333252,0.3269196,0.944458,0.03627014,0.3576965,0.9331207,
Calibration,91458.000,0,5.26712,5.31929,0.02511597,0.3043365,0.9522247,0.03729248,0.3435364,0.938385,
Calibration,91541.000,0,5.296371,5.41243,0.02090454,0.2852478,0.9582214,0.0388031,0.3153381,0.9481659,
Calibration,91625.000,0,5.250351,5.431152,0.02015686,0.2748413,0.9612732,0.03153992,0.2973633,0.9542389,
Calibration,91708.000,0,5.266403,5.442871,0.01239014,0.2581787,0.9660034,0.03190613,0.2871094,0.9573517,
Calibration,91791.000,0,5.130875,5.435349,0.06802368,0.09472656,0.9931641,0.06361389,0.09706116,0.9932404,
Calibration,91875.000,0,5.108963,5.289154,0.008056641,-0.1031189,0.9946289,0.05450439,-0.09324646,0.9941406,
Calibration,91958.000,0,5.226028,5.401001,-0.03349304,-0.1139526,0.9929199,-0.01741028,-0.1069031,0.9941101,
Calibration,92041.000,0,5.263168,5.340698,-0.04450989,-0.09274292,0.9946899,-0.009536743,-0.09440613,0.9954834,
Calibration,92125.000,0,5.337738,5.406799,-0.0422821,-0.06684875,0.9968567,-0.001556396,-0.05813599,0.9983063,
Calibration,92208.000,0,5.419266,5.47821,0.1337128,0.3217468,0.9373169,0.1204224,0.3617706,0.9244537,
Calibration,92291.000,0,5.456039,5.553558,0.1217346,0.3256378,0.9376068,0.1217194,0.3682251,0.9217224,
Calibration,92374.000,0,5.456482,5.640472,0.114975,0.3244476,0.9388733,0.1194458,0.3747253,0.9194031,
Calibration,92458.000,0,5.471069,5.66304,0.1110992,0.3256378,0.9389343,0.1190033,0.3739471,0.9197693,
Calibration,92541.000,0,5.503082,5.678162,0.1098175,0.3283997,0.9381256,0.1140289,0.3731537,0.9207306,
