Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,1320919.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1321027.000,0,4.00882,3.597229,0.04046631,0.08776855,0.9953156,0.01347351,-0.001602173,0.9998932,
Calibration,1321127.000,0,3.915283,3.4599,0.03948975,0.09919739,0.994278,0.02374268,-0.02281189,0.9994507,
Calibration,1321235.000,0,3.455383,3.374496,-0.1337128,0.06227112,0.9890594,-0.1459198,-0.05534363,0.9877319,
Calibration,1321327.000,0,3.204117,3.116684,-0.1495667,0.02856445,0.988327,-0.155899,-0.06918335,0.9853363,
Calibration,1321435.000,0,3.145248,2.886154,-0.1449432,0.006332397,0.9894104,-0.1322937,-0.1015625,0.9859772,
Calibration,1321544.000,0,2.884857,2.985519,-0.1006317,0.009597778,0.994873,-0.1222076,-0.08451843,0.9888916,
Calibration,1321644.000,0,2.962082,2.975143,-0.1056519,0.006271362,0.9943695,-0.1178741,-0.06008911,0.9911957,
Calibration,1321727.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1321810.000,0,3.061844,3.026169,-0.03460693,0.02134705,0.9991608,-0.04644775,-0.04429626,0.9979248,
Calibration,1321893.000,0,3.44194,3.148544,-0.05062866,0.03085327,0.99823,-0.0552063,-0.06900024,0.9960785,
Calibration,1321977.000,0,3.404266,3.328369,-0.0324707,0.02740479,0.9990845,-0.07423401,-0.06326294,0.995224,
Calibration,1322060.000,0,3.477005,3.358673,-0.03213501,0.02397156,0.9991913,-0.07281494,-0.04525757,0.9963074,
Calibration,1322143.000,0,3.599411,3.485443,-0.03170776,0.03408813,0.9989014,-0.06825256,-0.05021667,0.9963989,
Calibration,1322227.000,0,3.641647,3.557053,-0.03355408,0.03466797,0.9988251,-0.07250977,-0.04580688,0.9963074,
Calibration,1322310.000,0,3.763931,3.664917,-0.03712463,0.04316711,0.9983673,-0.07540894,-0.03460693,0.9965515,
Calibration,1322393.000,0,3.983475,3.854019,-0.1063385,0.1150208,0.9876404,-0.1108856,-0.007919312,0.9937897,
Calibration,1322477.000,0,4.132553,3.907913,-0.1068573,0.1302185,0.9857025,-0.1143646,-0.006500244,0.9934082,
Calibration,1322560.000,0,4.152405,3.943237,-0.1083679,0.1345215,0.9849548,-0.1164093,-0.002212524,0.9931946,
Calibration,1322643.000,0,4.155075,4.070999,-0.09291077,0.1203461,0.9883728,-0.1288147,0.0004577637,0.9916534,
Calibration,1322727.000,0,4.268188,4.115585,-0.1144562,0.1356659,0.9841156,-0.1344604,0.005523682,0.9908905,
Calibration,1322810.000,0,4.214722,4.160843,-0.08187866,0.1106262,0.9904785,-0.1402893,0.02641296,0.9897461,
Calibration,1322893.000,0,4.225601,4.226501,-0.07254028,0.124527,0.9895477,-0.1200104,0.06428528,0.9906769,
Calibration,1322977.000,0,4.505035,4.232101,-0.07785034,0.1938629,0.9779205,-0.1077881,0.05497742,0.9926453,
Calibration,1323060.000,0,4.542114,4.236542,-0.07989502,0.1994476,0.9766388,-0.1088715,0.05586243,0.9924774,
Calibration,1323143.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1323227.000,0,4.905487,4.291916,-0.1042786,0.2600403,0.9599457,-0.1758575,0.0958252,0.9797363,
