Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,53164.000,0,3.158646,3.449097,-0.02194214,-0.06355286,0.9977264,0.01324463,-0.07446289,0.9971313,
Calibration,53264.000,0,3.176208,3.428879,-0.01928711,-0.06399536,0.997757,0.0135498,-0.07542419,0.9970551,
Calibration,53364.000,0,3.177872,3.421112,-0.019104,-0.06256104,0.9978485,0.01330566,-0.07769775,0.9968872,
Calibration,53472.000,0,3.156326,3.446793,-0.008209229,-0.05955505,0.9981842,0.01179504,-0.07804871,0.9968719,
Calibration,53572.000,0,3.08963,3.396988,-0.006439209,-0.06103516,0.9981079,0.009231567,-0.0813446,0.9966431,
Calibration,53664.000,0,3.033005,3.294189,-0.003860474,-0.06132507,0.9981079,0.008010864,-0.08302307,0.9965057,
Calibration,53764.000,0,2.94133,3.239105,-0.003097534,-0.06350708,0.9979706,0.007263184,-0.08454895,0.9963837,
Calibration,53872.000,0,2.895752,3.200226,-0.003448486,-0.06555176,0.9978333,0.006332397,-0.08460999,0.9963837,
Calibration,53981.000,0,2.856354,3.180695,-0.003616333,-0.06959534,0.9975586,0.006134033,-0.08277893,0.9965363,
Calibration,54089.000,0,2.847321,3.185287,-0.001434326,-0.07255554,0.9973602,0.006240845,-0.08404541,0.9964294,
Calibration,54181.000,0,2.847397,3.209549,-0.0008239746,-0.07118225,0.9974518,0.007125854,-0.08413696,0.9964142,
Calibration,54264.000,0,2.883926,3.208176,-0.001785278,-0.07049561,0.9974976,0.006942749,-0.08345032,0.9964752,
Calibration,54347.000,0,2.942703,3.294296,-0.001571655,-0.06629944,0.9977875,0.005615234,-0.08265686,0.9965515,
Calibration,54430.000,0,2.968246,3.302231,-0.001846313,-0.06192017,0.9980774,0.003356934,-0.07873535,0.9968872,
Calibration,54514.000,0,3.01091,3.365921,-0.005142212,-0.06182861,0.9980621,0.004257202,-0.07672119,0.9970398,
Calibration,54597.000,0,3.104492,3.413605,-0.00453186,-0.06222534,0.9980469,0.006607056,-0.0745697,0.9971924,
Calibration,54680.000,0,3.176987,3.493912,-0.005111694,-0.05932617,0.9982147,0.005371094,-0.07264709,0.9973297,
Calibration,54764.000,0,3.228653,3.564621,-0.004776001,-0.05924988,0.99823,0.004196167,-0.06863403,0.9976196,
Calibration,54847.000,0,3.316986,3.593506,-0.006195068,-0.05513,0.9984589,0.00138855,-0.06620789,0.9978027,
Calibration,54930.000,0,3.347885,3.741165,-0.006607056,-0.115387,0.9932861,0.02987671,-0.1023407,0.9942932,
Calibration,55014.000,0,3.527924,3.791107,0.007034302,-0.1300201,0.9914856,0.0279541,-0.1220093,0.9921265,
Calibration,55097.000,0,3.530441,3.830215,0.005126953,-0.1289978,0.9916229,0.02633667,-0.1196136,0.9924622,
Calibration,55180.000,0,3.594238,3.911194,0.002883911,-0.1281128,0.991745,0.02401733,-0.118042,0.9927063,
Calibration,55264.000,0,3.673172,3.999054,0.004638672,-0.1282349,0.9917297,0.02459717,-0.1111908,0.9934845,
Calibration,55347.000,0,3.749527,4.089401,-0.00743103,-0.1280518,0.9917297,0.01879883,-0.1127777,0.9934387,
Calibration,55430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,55514.000,0,3.873642,4.189667,-0.006088257,-0.1506958,0.9885559,0.02586365,-0.150238,0.9882965,
Calibration,55597.000,0,3.888916,4.190948,-0.004196167,-0.1414642,0.9899292,0.02342224,-0.1460571,0.9889832,
Calibration,55680.000,0,3.875458,4.254944,-0.005783081,-0.1449432,0.9894104,0.02275085,-0.1421967,0.989563,
Calibration,55764.000,0,3.957047,4.282822,-0.003509521,-0.141098,0.989975,0.02037048,-0.1386719,0.9901276,
Calibration,55847.000,0,3.931168,4.314529,-0.006347656,-0.140152,0.990097,0.02153015,-0.137619,0.9902496,
Calibration,55930.000,0,4.065201,4.381943,-0.004272461,-0.1330414,0.9910889,0.02149963,-0.1364288,0.9904022,
Calibration,56013.000,0,4.068436,4.440048,-0.005767822,-0.1331482,0.9910736,0.02124023,-0.1335449,0.990799,
Calibration,56097.000,0,4.255157,4.437363,0.01651001,-0.1430664,0.989563,0.03585815,-0.1261902,0.9913483,
Calibration,56180.000,0,4.251007,4.47879,0.01597595,-0.1408386,0.9898987,0.0425415,-0.1293335,0.9906769,
Calibration,56263.000,0,4.294083,4.49501,0.02339172,-0.1378326,0.9901733,0.04359436,-0.1282806,0.9907684,
Calibration,56347.000,0,4.103912,4.644638,0.0349884,-0.152359,0.9877014,0.0533905,-0.1314697,0.9898682,
Calibration,56430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,56513.000,0,4.205032,4.825089,0.03762817,-0.08148193,0.9959564,0.0818634,-0.05392456,0.9951782,
Calibration,56597.000,0,4.461792,4.75705,0.03230286,-0.06791687,0.9971619,0.07583618,-0.04780579,0.9959717,
Calibration,56680.000,0,4.490494,4.791153,0.03257751,-0.0680542,0.9971466,0.07443237,-0.04769897,0.9960785,
Calibration,56763.000,0,4.452988,4.80838,0.02137756,-0.06535339,0.9976196,0.07247925,-0.04649353,0.9962769,
Calibration,56847.000,0,4.483765,4.863358,0.02583313,-0.06243896,0.9977112,0.07104492,-0.03923035,0.9966888,
Calibration,56930.000,0,4.521683,4.993637,0.02513123,-0.0594635,0.9979095,0.07446289,-0.03491211,0.9965973,
Calibration,57013.000,0,4.711533,4.857864,0.006561279,-0.06332397,0.9979706,0.04197693,-0.05682373,0.9974976,
Calibration,57097.000,0,4.596268,4.979279,-0.01626587,-0.08746338,0.9960327,0.02851868,-0.07252502,0.9969482,
Calibration,57180.000,0,4.598465,4.99028,-0.0174408,-0.08602905,0.9961243,0.02674866,-0.07199097,0.9970398,
Calibration,57263.000,0,4.621582,5.022766,-0.01831055,-0.08657837,0.9960632,0.02613831,-0.07328796,0.9969635,
Calibration,57346.000,0,4.647263,5.033661,-0.01972961,-0.08332825,0.9963226,0.02670288,-0.07339478,0.996933,
Calibration,57430.000,0,4.642288,5.06134,-0.02909851,-0.08435059,0.9960022,0.02566528,-0.06878662,0.9972992,
Calibration,57513.000,0,4.715759,5.084366,-0.02052307,-0.07795715,0.9967346,0.02566528,-0.06887817,0.9972839,
Calibration,57596.000,0,4.729462,5.107498,-0.02375793,-0.07489014,0.9969025,0.02322388,-0.06159973,0.997818,
Calibration,57680.000,0,4.772461,5.119476,-0.02474976,-0.06761169,0.9973907,0.02232361,-0.06681824,0.9975128,
Calibration,57763.000,0,4.824478,5.178162,-0.02554321,-0.06517029,0.9975433,0.02632141,-0.06037903,0.997818,
Calibration,57846.000,0,4.763641,5.215759,-0.005126953,-0.0980835,0.995163,0.06031799,-0.07597351,0.9952698,
Calibration,57930.000,0,4.741608,5.176773,-0.00567627,-0.105011,0.9944458,0.05848694,-0.08866882,0.994339,
Calibration,58013.000,0,4.743332,5.187256,-0.00869751,-0.1000977,0.9949341,0.05549622,-0.0859375,0.994751,
Calibration,58096.000,0,4.763412,5.200729,-0.01016235,-0.09272766,0.995636,0.05262756,-0.07888794,0.9954834,
Calibration,58180.000,0,4.866226,5.242432,0.005432129,-0.08329773,0.9965057,0.05200195,-0.07589722,0.9957428,
Calibration,58263.000,0,4.895676,5.228973,0.007537842,-0.1135712,0.9934998,0.06407166,-0.1335297,0.9889679,
Calibration,58346.000,0,4.857651,5.272049,0.001342773,-0.1204376,0.9927063,0.06192017,-0.1316376,0.9893494,
Calibration,58430.000,0,4.847809,5.269989,0.001205444,-0.1165466,0.9931793,0.05670166,-0.1309662,0.9897614,
Calibration,58513.000,0,4.830811,5.282852,0.0005645752,-0.1139069,0.9934845,0.05448914,-0.1280975,0.9902496,
Calibration,58596.000,0,4.833054,5.308853,0.0008392334,-0.1150055,0.9933624,0.054245,-0.1249237,0.9906769,
Calibration,58680.000,0,4.881577,5.349289,0.0009307861,-0.1134491,0.9935303,0.05528259,-0.125,0.9906006,
Calibration,58763.000,0,4.914032,5.320419,0.0009918213,-0.1099243,0.993927,0.05558777,-0.1177063,0.9914856,
Calibration,58846.000,0,4.95932,5.373993,-0.0008239746,-0.1116943,0.9937286,0.06924438,-0.1186523,0.990509,
Calibration,58929.000,0,4.967178,5.357681,0.00213623,-0.1113281,0.9937744,0.05552673,-0.1165466,0.9916229,
Calibration,59013.000,0,5.01976,5.447693,-0.001098633,-0.1054688,0.9944153,0.06918335,-0.1116028,0.991333,
Calibration,59096.000,0,5.13652,5.411362,0.0009307861,-0.1017151,0.9947968,0.03837585,-0.09359741,0.9948578,
Calibration,59179.000,0,5.106964,5.440628,-0.003952026,-0.1018982,0.9947815,0.03665161,-0.09402466,0.9948883,
Calibration,59263.000,0,5.08194,5.42215,-0.01783752,-0.09799194,0.9950256,0.03564453,-0.09190369,0.9951172,
Calibration,59346.000,0,5.089432,5.4263,-0.01042175,-0.09051514,0.9958344,0.03570557,-0.0884552,0.9954376,
Calibration,59429.000,0,5.123703,5.434021,-0.005874634,-0.08795166,0.9960938,0.0352478,-0.08323669,0.9958954,
Calibration,59513.000,0,5.146805,5.451294,-0.006332397,-0.08476257,0.9963684,0.03462219,-0.08110046,0.9960938,
Calibration,59596.000,0,5.14801,5.40448,-0.008590698,-0.08013916,0.9967346,0.03186035,-0.07475281,0.9966888,
Calibration,59679.000,0,5.170654,5.446228,-0.008636475,-0.07084656,0.9974365,0.03643799,-0.07341003,0.9966278,
Calibration,59763.000,0,5.176651,5.456024,-0.01005554,-0.06877136,0.9975739,0.03573608,-0.06861877,0.996994,
Calibration,59846.000,0,5.208069,5.570953,-0.005432129,-0.09129333,0.9958038,0.06677246,-0.06770325,0.9954529,
Calibration,59929.000,0,5.176056,5.554489,-0.00289917,-0.0914917,0.9957886,0.0687561,-0.07653809,0.9946899,
Calibration,60013.000,0,5.184174,5.548859,-0.004226685,-0.08811951,0.9960938,0.06887817,-0.07046509,0.9951172,
Calibration,60096.000,0,5.189133,5.56691,-0.008361816,-0.08761597,0.996109,0.06761169,-0.06594849,0.9955139,
Calibration,60179.000,0,5.19809,5.579468,-0.01113892,-0.08538818,0.9962769,0.06794739,-0.06460571,0.9955902,
Calibration,60263.000,0,5.206757,5.591599,-0.01397705,-0.08029175,0.9966583,0.06858826,-0.06216431,0.995697,
Calibration,60346.000,0,5.210068,5.598923,-0.01255798,-0.07652283,0.9969788,0.06819153,-0.05831909,0.9959564,
Calibration,60429.000,0,5.227493,5.602707,-0.007904053,-0.08067322,0.9967041,0.06613159,-0.05735779,0.9961548,
