Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,3462520.000,-1,4.022705,3.379898,-0.03186035,-0.1025085,0.9942169,0.008865356,-0.09944153,0.9949951,
Calibration,3462611.000,0,3.912521,3.249817,-0.04151917,-0.1304626,0.9905701,0.008560181,-0.1344452,0.9908752,
Calibration,3462711.000,0,3.930496,3.167435,-0.02182007,-0.1193848,0.9925995,0.005401611,-0.1080627,0.9941254,
Calibration,3462819.000,0,3.717987,2.846039,-0.02160645,-0.115387,0.9930725,0.001296997,-0.1258545,0.9920349,
Calibration,3462903.000,0,3.220383,2.610779,-0.05046082,-0.3089294,0.9497375,-0.0001373291,-0.3017426,0.9533844,
Calibration,3463003.000,0,3.042816,2.578842,-0.03846741,-0.3182983,0.9472046,0.006622314,-0.3066864,0.9517822,
Calibration,3463119.000,0,2.956772,2.569107,-0.02973938,-0.3247833,0.9453125,0.0006408691,-0.3058777,0.9520569,
Calibration,3463219.000,0,2.89978,2.56929,-0.03216553,-0.3234253,0.945694,0.002532959,-0.3045502,0.9524841,
Calibration,3463319.000,0,3.0383,2.639938,-0.04367065,-0.321106,0.9460297,0.01020813,-0.3016815,0.9533386,
Calibration,3463419.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3463528.000,0,3.349564,2.950058,0.04849243,-0.2265167,0.9727936,0.1035156,-0.1537323,0.982666,
Calibration,3463619.000,0,3.531952,3.095825,0.05361938,-0.2105713,0.9760895,0.095047,-0.1923065,0.9767151,
Calibration,3463703.000,0,3.579132,3.182999,0.05682373,-0.2043457,0.9772339,0.0994873,-0.1898041,0.9767609,
Calibration,3463786.000,0,3.625183,3.210526,0.05723572,-0.2098694,0.9760437,0.09407043,-0.1932068,0.9766235,
Calibration,3463869.000,0,3.830063,3.346451,0.04299927,-0.2022095,0.9783936,0.09553528,-0.187912,0.9775238,
Calibration,3463952.000,0,4.033203,3.47168,0.05502319,-0.1911621,0.980011,0.08218384,-0.1850891,0.9792633,
Calibration,3464036.000,0,4.090729,3.437347,0.04374695,-0.1888428,0.9810181,0.08018494,-0.1738586,0.9814911,
Calibration,3464119.000,0,4.120789,3.6922,0.05070496,-0.1925812,0.9799652,0.08146667,-0.1866608,0.9790344,
Calibration,3464202.000,0,4.161819,3.576736,0.05131531,-0.1950684,0.9794312,0.07014465,-0.1903534,0.9792023,
Calibration,3464286.000,0,4.138779,3.715302,0.03820801,-0.1984863,0.9793549,0.06634521,-0.197403,0.9780731,
Calibration,3464369.000,0,4.085434,3.73056,0.03616333,-0.1918793,0.9807434,0.06155396,-0.1929169,0.9792786,
Calibration,3464452.000,0,4.125549,3.689865,0.04225159,-0.1855774,0.98172,0.05871582,-0.2104492,0.9758301,
