Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,3866428.000,0,4.635971,4.630035,0.01754761,0.03425598,0.9992523,0.06175232,0.03504944,0.997467,
Calibration,3866520.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3866620.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3866728.000,0,3.758224,3.947357,-0.1118317,-0.1826477,0.9767914,-0.1204071,-0.1723022,0.9776459,
Calibration,3866845.000,0,3.403351,3.793884,-0.1141968,-0.1840668,0.9762421,-0.1262817,-0.1748657,0.9764557,
Calibration,3866945.000,0,3.340149,3.624207,-0.1096497,-0.1809998,0.9773407,-0.1260986,-0.1740265,0.9766235,
Calibration,3867053.000,0,3.272964,3.514465,-0.108078,-0.1802521,0.9776611,-0.125412,-0.173233,0.9768524,
Calibration,3867136.000,0,3.233261,3.435608,-0.1094055,-0.181778,0.9772186,-0.1282349,-0.1768341,0.9758453,
Calibration,3867220.000,0,3.140213,3.44902,-0.1067047,-0.1843567,0.9770355,-0.1242218,-0.1736755,0.9769287,
Calibration,3867303.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3867386.000,0,3.55806,3.660767,-0.07989502,-0.1023712,0.9915161,-0.08540344,-0.09063721,0.9922028,
Calibration,3867470.000,0,3.676544,3.793472,-0.07597351,-0.09613037,0.9924622,-0.08139038,-0.08782959,0.9927979,
Calibration,3867553.000,0,3.753403,3.824799,-0.08094788,-0.09642029,0.9920349,-0.079422,-0.08584595,0.9931335,
Calibration,3867636.000,0,3.916275,4.057144,-0.08094788,-0.09912109,0.9917603,-0.07516479,-0.08743286,0.9933167,
Calibration,3867719.000,0,3.990799,4.216522,-0.08114624,-0.09739685,0.9919281,-0.07077026,-0.08895874,0.993515,
Calibration,3867803.000,0,4.197311,4.277588,-0.08508301,-0.09747314,0.9915924,-0.06939697,-0.08944702,0.9935608,
Calibration,3867886.000,0,4.277588,4.420425,-0.08404541,-0.0970459,0.9917145,-0.06900024,-0.08865356,0.9936676,
Calibration,3867969.000,0,4.442596,4.498825,-0.08169556,-0.09303284,0.9922943,-0.06678772,-0.08740234,0.993927,
Calibration,3868053.000,0,4.582123,4.574615,-0.08041382,-0.08811951,0.9928436,-0.06524658,-0.08580017,0.9941711,
Calibration,3868136.000,0,4.659531,4.790726,0.009750366,-0.08595276,0.9962463,0.0296936,-0.06945801,0.9971313,
Calibration,3868219.000,0,4.725845,4.779739,0.01527405,-0.0834198,0.9963837,0.03794861,-0.06936646,0.9968567,
Calibration,3868303.000,0,4.755127,4.853577,0.01911926,-0.08137512,0.9964905,0.03863525,-0.06814575,0.9969177,
Calibration,3868386.000,0,4.882751,4.920609,0.02119446,-0.07704163,0.9967957,0.03942871,-0.06723022,0.9969482,
Calibration,3868469.000,0,5.023636,5.039917,0.1199493,-0.027771,0.9923859,0.1422729,-0.0221405,0.989563,
Calibration,3868553.000,0,5.061844,5.040787,0.121994,-0.02171326,0.9922791,0.1495514,-0.01460266,0.9886322,
Calibration,3868636.000,0,5.061142,5.116333,0.1130676,-0.02046204,0.9933624,0.1502533,-0.01248169,0.9885559,
Calibration,3868719.000,0,5.114365,5.138489,0.1186981,-0.01817322,0.9927521,0.1502075,-0.01119995,0.9885864,
Calibration,3868803.000,0,5.217575,5.167374,0.1210327,-0.01799011,0.9924774,0.1495667,-0.01464844,0.9886322,
Calibration,3868886.000,0,5.305908,5.359253,0.1931,-0.01168823,0.9810944,0.2237854,-0.002258301,0.9746246,
Calibration,3868969.000,0,5.457214,5.372589,0.338623,0.03242493,0.9403534,0.3748322,0.04495239,0.9259949,
Calibration,3869053.000,0,5.529388,5.400482,0.3691406,0.04716492,0.9281616,0.4072266,0.04350281,0.9122772,
Calibration,3869136.000,0,5.569016,5.42601,0.3714294,0.04139709,0.9275208,0.4086761,0.04641724,0.9114838,
Calibration,3869219.000,0,5.266449,5.28186,0.2311401,-0.02496338,0.9725952,0.2632294,-0.009048462,0.9646759,
Calibration,3869302.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3869386.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3869469.000,0,5.61319,5.570679,-0.004623413,-0.05345154,0.9985504,0.05334473,-0.06373596,0.9965363,
Calibration,3869552.000,0,5.762222,5.731995,-0.00541687,-0.02792358,0.999588,0.03523254,-0.01928711,0.9991913,
Calibration,3869636.000,0,5.725174,5.820465,-0.003372192,-0.0327301,0.9994507,0.03303528,-0.009674072,0.9994049,
Calibration,3869719.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3869802.000,0,4.556763,4.66568,0.01870728,-0.1636505,0.9863281,0.01252747,-0.1615753,0.9867706,
Calibration,3869886.000,0,4.953506,5.18161,-0.0178833,-0.1439514,0.9894104,0.03422546,-0.1121063,0.993103,
Calibration,3869969.000,0,4.80455,4.995438,-0.008102417,-0.163208,0.9865417,0.01223755,-0.1494598,0.988678,
Calibration,3870052.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3870136.000,0,5.500549,5.662277,-0.00592041,-0.1035156,0.9945984,0.05155945,-0.07562256,0.9957886,
Calibration,3870219.000,0,5.772171,5.67128,-0.0243988,-0.09889221,0.9947968,0.05142212,-0.08296204,0.995224,
Calibration,3870302.000,0,5.81456,5.830521,-0.01213074,-0.08363342,0.9964142,0.0453186,-0.07302856,0.9962921,
Calibration,3870386.000,0,5.857986,5.820572,-0.01660156,-0.08100891,0.9965668,0.04753113,-0.0743866,0.9960938,
Calibration,3870469.000,0,5.866547,5.798096,-0.01182556,-0.08810425,0.9960327,0.04945374,-0.07675171,0.9958191,
Calibration,3870552.000,0,5.947723,5.702164,-0.000213623,-0.09283447,0.9956665,0.04347229,-0.08189392,0.9956818,
Calibration,3870635.000,0,5.978165,5.847458,-0.004501343,-0.09423828,0.9955292,0.06471252,-0.08132935,0.9945831,
Calibration,3870719.000,0,5.964157,5.804504,0.01344299,-0.09698486,0.9951935,0.07038879,-0.07859802,0.9944153,
Calibration,3870802.000,0,5.987183,5.802856,0.02442932,-0.09286499,0.9953766,0.08125305,-0.07502747,0.9938507,
Calibration,3870885.000,0,5.964706,5.81749,0.03729248,-0.09188843,0.9950562,0.09103394,-0.08085632,0.9925537,
Calibration,3870969.000,0,5.946548,6.010635,0.03889465,-0.08898926,0.9952698,0.1040497,-0.06532288,0.9924164,
Calibration,3871052.000,0,6.047226,6.027817,0.03718567,-0.07312012,0.9966278,0.09700012,-0.05776978,0.9935913,
Calibration,3871135.000,0,5.942719,5.978409,0.08460999,-0.0884552,0.9924774,0.144577,-0.06643677,0.9872589,
Calibration,3871219.000,0,6.020767,6.000122,0.07054138,-0.07693481,0.9945221,0.1370087,-0.06581116,0.9883728,
Calibration,3871302.000,0,6.046524,6.033096,0.07748413,-0.07723999,0.993988,0.1333313,-0.06242371,0.98909,
Calibration,3871385.000,0,6.130661,6.133911,0.0748291,-0.07550049,0.9943237,0.1378174,-0.06359863,0.9884033,
Calibration,3871469.000,0,6.051773,6.145645,0.07369995,-0.07574463,0.9943848,0.1254425,-0.06488037,0.989975,
Calibration,3871552.000,0,5.838715,5.936966,0.06568909,-0.1046295,0.9923248,0.1179047,-0.07588196,0.9901123,
Calibration,3871635.000,0,5.335938,5.154495,0.04879761,-0.1687775,0.984436,0.09107971,-0.1737366,0.9805603,
Calibration,3871719.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3871802.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3871885.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3871968.000,0,-1,-1,0,0,0,0,0,0,
Calibration,3872052.000,0,-1,3.519196,0,0,0,0.04400635,-0.2991333,0.953186,
Calibration,3872135.000,0,-1,5.613098,0,0,0,0.0514679,-0.1255341,0.9907379,
Calibration,3872218.000,0,6.201859,6.287231,0.02055359,-0.114563,0.9931946,0.05955505,-0.07180786,0.995636,
Calibration,3872302.000,0,6.414444,6.44101,0.02017212,-0.07987976,0.9965973,0.05419922,-0.06234741,0.9965668,
