Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,169915.000,0,2.890579,2.667953,0.001358032,-0.05479431,0.9984894,0.0295105,-0.05154419,0.99823,
Calibration,170032.000,0,2.970886,3.011078,0.1692657,0.1301422,0.9769287,0.1938171,0.1666565,0.9667664,
Calibration,170140.000,0,2.73494,2.6427,0.1682739,0.149292,0.9743652,0.2154999,0.1656342,0.9623413,
Calibration,170232.000,0,2.547897,2.494522,0.2103577,0.1648102,0.963623,0.2496796,0.1913147,0.949234,
Calibration,170340.000,0,2.607819,2.36113,0.2814941,0.2327271,0.9309082,0.2903595,0.2620087,0.9203339,
Calibration,170457.000,0,2.505524,2.377899,0.03431702,-0.02937317,0.9989777,0.0839386,-0.01945496,0.9962769,
Calibration,170573.000,0,2.552032,2.407776,0.03126526,-0.0279541,0.999115,0.08218384,-0.02285767,0.9963531,
Calibration,170657.000,0,2.567657,2.4245,0.03004456,-0.03215027,0.9990234,0.0793457,-0.02314758,0.9965668,
Calibration,170757.000,0,2.64653,2.496048,0.02542114,-0.03305054,0.999115,0.07571411,-0.02241516,0.9968719,
Calibration,170840.000,0,2.644897,2.496384,0.02204895,-0.03726196,0.999054,0.07218933,-0.02304077,0.9971161,
Calibration,170923.000,0,2.620773,2.475586,0.02484131,-0.03158569,0.9991913,0.0710144,-0.02183533,0.9972229,
Calibration,171007.000,0,2.57373,2.454407,0.02464294,-0.03277588,0.9991455,0.06855774,-0.01820374,0.997467,
Calibration,171090.000,0,2.60791,2.468994,0.02249146,-0.03474426,0.9991302,0.06611633,-0.01921082,0.9976196,
Calibration,171173.000,0,2.66037,2.535568,0.02268982,-0.03300476,0.9991913,0.06156921,-0.01599121,0.9979706,
Calibration,171257.000,0,2.829697,2.622726,0.02433777,-0.03515625,0.9990845,0.059021,-0.01463318,0.9981384,
Calibration,171340.000,0,2.904907,2.73822,0.02658081,-0.04019165,0.9988251,0.05825806,-0.01176453,0.99823,
Calibration,171423.000,0,3.075211,2.871307,0.02645874,-0.03636169,0.9989777,0.05795288,-0.01615906,0.9981842,
Calibration,171506.000,0,3.185745,2.98494,0.02655029,-0.03765869,0.9989319,0.05877686,-0.01914978,0.9980774,
Calibration,171590.000,0,3.266266,3.023636,0.05944824,-0.0748291,0.9954071,0.09873962,-0.04032898,0.9942932,
Calibration,171673.000,0,3.265381,3.012039,0.06105042,-0.07917786,0.9949799,0.09617615,-0.04180908,0.9944763,
Calibration,171756.000,0,3.30603,3.03952,0.06263733,-0.07766724,0.9949951,0.09584045,-0.0402832,0.9945679,
Calibration,171840.000,0,3.338165,3.03006,0.06022644,-0.07904053,0.9950409,0.09233093,-0.04150391,0.9948578,
Calibration,171923.000,0,3.36116,3.056091,0.05940247,-0.07885742,0.9951019,0.08830261,-0.04260254,0.9951782,
Calibration,172006.000,0,3.392868,3.107407,0.0606842,-0.07736206,0.9951477,0.08860779,-0.04226685,0.995163,
Calibration,172090.000,0,3.432587,3.150726,0.05882263,-0.0765686,0.9953156,0.09065247,-0.04130554,0.9950104,
Calibration,172173.000,0,3.446396,3.162064,0.05763245,-0.07722473,0.9953308,0.08590698,-0.04168701,0.9954224,
Calibration,172256.000,0,3.434067,3.194336,0.0585022,-0.07492065,0.9954681,0.08598328,-0.04318237,0.9953461,
Calibration,172340.000,0,3.588394,3.410477,0.09326172,-0.07965088,0.9924469,0.1259308,-0.05978394,0.9902344,
Calibration,172423.000,0,3.58815,3.403717,0.09326172,-0.07818604,0.9925537,0.1261292,-0.06027222,0.9901733,
Calibration,172506.000,0,3.609879,3.411942,0.09350586,-0.07621765,0.992691,0.1259918,-0.05960083,0.9902344,
Calibration,172590.000,0,3.635269,3.439804,0.09248352,-0.07572937,0.9928284,0.1250458,-0.0594635,0.9903564,
