Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,2210409.000,0,-1,3.097122,0,0,0,0.006896973,-0.2821655,0.9593353,
Calibration,2210509.000,0,2.636276,3.13089,-0.004425049,0.006057739,0.9999695,0.04960632,0.040802,0.9979248,
Calibration,2210609.000,0,2.787888,3.025803,0.01370239,0.03469849,0.9992981,0.05415344,0.03207397,0.9980164,
Calibration,2210709.000,0,2.97348,2.977356,0.0173645,0.2457275,0.9691772,0.04620361,0.2390747,0.9698944,
Calibration,2210809.000,0,2.957077,3.042877,0.02357483,0.2408752,0.9702606,0.04650879,0.2159882,0.9752808,
Calibration,2210909.000,0,3.202423,3.305588,0.026474,0.2596436,0.965332,0.073349,0.2305603,0.9702759,
Calibration,2211017.000,0,3.101868,3.270142,0.01947021,0.2619171,0.9648895,0.07272339,0.2235565,0.9719696,
Calibration,2211118.000,0,3.300812,3.377975,0.01374817,0.2649231,0.9641571,0.06944275,0.2301025,0.9706726,
Calibration,2211226.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2211334.000,0,3.352921,3.645081,0.05766296,-0.2870789,0.9561615,0.124176,-0.2663879,0.9558258,
Calibration,2211417.000,0,3.314835,3.6866,0.06178284,-0.2951965,0.9534302,0.1124573,-0.2658539,0.957428,
Calibration,2211501.000,0,3.425507,3.744904,0.06074524,-0.2967072,0.9530182,0.1363525,-0.2836151,0.9491882,
Calibration,2211584.000,0,3.287201,3.72464,-0.02323914,-0.1630249,0.9863434,0.02253723,-0.1418457,0.989624,
Calibration,2211667.000,0,3.230453,3.406998,-0.02642822,-0.1595917,0.9868164,0.02548218,-0.1192932,0.9925232,
Calibration,2211751.000,0,2.527481,3.119827,-0.03421021,-0.2700043,0.9622498,0.02293396,-0.184494,0.9825592,
Calibration,2211834.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2211917.000,0,3.492661,3.95993,0.03224182,0.1186218,0.9924011,0.08468628,0.1052551,0.9908295,
Calibration,2212001.000,0,3.503342,3.890411,0.01420593,0.1059875,0.9942627,0.08898926,0.09591675,0.991394,
Calibration,2212084.000,0,3.516815,3.987564,0.02015686,0.1067352,0.9940796,0.08665466,0.08439636,0.9926453,
Calibration,2212167.000,0,3.50531,4.020981,0.01066589,0.1108856,0.9937744,0.07962036,0.1286621,0.9884796,
Calibration,2212251.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2212334.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2212417.000,0,3.692276,4.054169,-0.02790833,-0.2385864,0.9707031,0.02877808,-0.1983948,0.9796906,
Calibration,2212501.000,0,3.647675,4.036301,-0.02967834,-0.2397461,0.9703674,0.02667236,-0.1916656,0.9810944,
Calibration,2212584.000,0,3.132629,3.919662,-0.01983643,-0.3347321,0.9420929,0.03335571,-0.2231598,0.9741974,
Calibration,2212667.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2212751.000,0,-1,4.273178,0,0,0,0.0818634,0.1878052,0.978775,
Calibration,2212834.000,0,3.824722,4.261337,0.02561951,0.2257996,0.9738312,0.07853699,0.1952057,0.9776001,
Calibration,2212917.000,0,3.873062,4.11087,0.02360535,0.2494812,0.9680786,0.08088684,0.1904144,0.9783478,
Calibration,2213000.000,0,3.848816,4.092041,0.006530762,0.2772522,0.9607697,0.06109619,0.232605,0.9706421,
Calibration,2213084.000,0,3.866318,4.110123,0.004501343,0.2752533,0.9613495,0.06109619,0.2301025,0.9712372,
Calibration,2213167.000,0,3.962555,4.134735,0.00302124,0.277832,0.9606171,0.06201172,0.2337036,0.9703217,
Calibration,2213250.000,0,3.894485,4.06546,0.002380371,0.2755127,0.9612885,0.05960083,0.2361298,0.9698792,
Calibration,2213334.000,0,3.838043,3.905136,-0.0009613037,0.2720795,0.962265,0.06809998,0.2272797,0.9714355,
Calibration,2213417.000,0,3.796631,3.889511,-0.00378418,0.2668304,0.9637299,0.06825256,0.2160339,0.9739838,
Calibration,2213500.000,0,3.771835,3.953186,-0.002349854,0.2635651,0.9646301,0.06352234,0.2099304,0.975647,
Calibration,2213584.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2213667.000,0,3.054276,3.927811,0.01974487,0.110672,0.9936523,0.07012939,0.1814423,0.980896,
Calibration,2213750.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2213834.000,0,3.445923,3.832916,0.004714966,-0.2813568,0.9595795,0.05206299,-0.2344055,0.9707336,
Calibration,2213917.000,0,3.724838,4.193665,-0.01087952,-0.2384644,0.9710846,0.03762817,-0.2138672,0.97612,
Calibration,2214000.000,0,3.682571,4.07077,0.006866455,-0.2394714,0.970871,0.05226135,-0.2350769,0.9705658,
Calibration,2214083.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2214167.000,0,-1,3.456833,0,0,0,0.121582,-0.04266357,0.9916534,
Calibration,2214250.000,0,3.971039,4.341812,0.04940796,0.076828,0.9958038,0.1109009,0.06300354,0.9918213,
Calibration,2214333.000,0,3.783524,4.373322,0.03520203,0.05426025,0.9978943,0.1222229,0.08114624,0.9891663,
Calibration,2214417.000,0,3.13678,4.487274,0.2241974,-0.1604767,0.9612274,0.3536987,-0.1374969,0.9251862,
Calibration,2214500.000,0,3.878693,4.494522,0.2771149,-0.110611,0.9544373,0.3592377,-0.1107941,0.9266357,
Calibration,2214583.000,0,4.078751,4.314713,0.2610474,-0.1092834,0.9591064,0.3392334,-0.09979248,0.935379,
Calibration,2214667.000,0,3.916992,4.644791,0.3191376,-0.1079102,0.9415283,0.375473,-0.1089935,0.9203949,
Calibration,2214750.000,0,3.671066,4.474701,0.2120361,-0.1426086,0.9667969,0.2633514,-0.1028137,0.959198,
Calibration,2214833.000,0,3.971329,4.284882,0.06770325,-0.1284637,0.9893951,0.16008,-0.1098328,0.9809723,
Calibration,2214917.000,0,3.893005,4.40509,0.06593323,-0.02404785,0.9975281,0.1577301,-0.02384949,0.9871826,
Calibration,2215000.000,0,4.041962,4.250046,0.0009460449,-0.01470947,0.9998779,0.06105042,-0.03128052,0.9976349,
Calibration,2215083.000,0,4.04744,4.429825,-0.06454468,-0.005477905,0.9978943,0.008956909,-0.04403687,0.9989777,
Calibration,2215167.000,0,2.723618,4.565231,0.1773834,-0.260376,0.9490662,0.3393402,-0.191864,0.9208832,
Calibration,2215250.000,0,3.77356,4.590622,0.2362061,-0.1802063,0.954834,0.2968445,-0.1353607,0.9452667,
Calibration,2215333.000,0,4.111633,4.609833,0.2781677,-0.1210175,0.9528656,0.2839508,-0.1528473,0.9465637,
Calibration,2215417.000,0,3.613617,4.601227,0.2142639,-0.1315765,0.967865,0.2891693,-0.1618958,0.9434814,
Calibration,2215500.000,0,4.163834,4.61824,0.2476654,-0.1149139,0.9619904,0.2675629,-0.1292877,0.9548187,
Calibration,2215583.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2215667.000,0,-1,-1,0,0,0,0,0,0,
Calibration,2215750.000,0,4.367661,4.446777,-0.1771393,0.1146698,0.977478,-0.1043243,0.09181213,0.9902802,
Calibration,2215833.000,0,4.297226,4.511032,-0.1174011,0.09594727,0.9884338,-0.05761719,0.1134338,0.9918671,
Calibration,2215917.000,0,4.307587,4.580246,-0.1990662,0.1334534,0.9708405,-0.11763,0.1066589,0.9873047,
