Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,1944514.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1944597.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1944681.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1944764.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1944847.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1944931.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945014.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945097.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945181.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945264.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945347.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945514.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945597.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945680.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945764.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945847.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1945930.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946014.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946097.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946180.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946264.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946347.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946514.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946597.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946680.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946764.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946847.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1946930.000,0,5.168884,4.744781,0.1503906,0.2753601,0.9494934,0.1395874,0.2994995,0.9438171,
Calibration,1947013.000,0,5.112808,4.691589,0.1286774,0.2700195,0.9542084,0.1102753,0.2680664,0.9570618,
Calibration,1947097.000,0,5.079483,4.709427,0.1153564,0.2790222,0.9533234,0.1105804,0.2963409,0.9486389,
Calibration,1947180.000,0,5.155609,4.663116,0.09280396,0.2825623,0.9547424,0.103302,0.2865753,0.9524536,
Calibration,1947263.000,0,5.156418,4.648041,0.0927887,0.2810059,0.9552002,0.08717346,0.2786102,0.9564362,
Calibration,1947347.000,0,5.155289,4.677719,0.08679199,0.2822113,0.9554138,0.08747864,0.2940674,0.951767,
Calibration,1947430.000,0,5.144485,4.662445,0.08564758,0.2754669,0.9574738,0.08712769,0.2930756,0.9521027,
Calibration,1947513.000,0,5.154907,4.682602,0.08851624,0.2815552,0.9554443,0.08755493,0.2871704,0.9538574,
Calibration,1947597.000,0,5.172562,4.725342,0.09358215,0.2833557,0.954422,0.101181,0.2853241,0.953064,
Calibration,1947680.000,0,5.180634,4.752213,0.09355164,0.2837219,0.9543152,0.1003723,0.2848053,0.9533081,
Calibration,1947763.000,0,5.162384,4.754379,0.09143066,0.2790222,0.9559174,0.09028625,0.287735,0.9534302,
Calibration,1947847.000,0,5.152283,4.733261,0.09080505,0.2807312,0.9554749,0.08999634,0.2867432,0.9537659,
Calibration,1947930.000,0,5.164963,4.716553,0.09483337,0.2754211,0.9566193,0.09440613,0.2828217,0.9545135,
Calibration,1948013.000,0,5.16777,4.724335,0.08830261,0.276474,0.956955,0.09091187,0.2810211,0.955368,
Calibration,1948097.000,0,-1,4.901978,0,0,0,0.00151062,0.5162964,0.8563995,
Calibration,1948180.000,0,5.679886,4.90741,-0.03445435,0.5703888,0.8206329,-0.02583313,0.560318,0.8278656,
Calibration,1948263.000,0,5.592575,4.899353,-0.03190613,0.5610352,0.8271637,-0.03463745,0.5593567,0.828186,
Calibration,1948346.000,0,5.503815,5.176239,-0.05319214,0.5885468,0.8067017,-0.0932312,0.5832977,0.8068848,
Calibration,1948430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948513.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948596.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948680.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948763.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948846.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1948930.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949013.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949096.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949180.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949263.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949346.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949430.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949513.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949596.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949680.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949763.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949846.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1949930.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950013.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950096.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950180.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950263.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950346.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950430.000,0,5.674271,4.612335,0.07272339,0.5582733,0.8264465,0.06988525,0.4992981,0.8635864,
Calibration,1950513.000,0,5.70636,4.741226,0.0680542,0.549469,0.8327332,0.06324768,0.5061798,0.8600922,
Calibration,1950596.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950679.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950763.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950846.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1950929.000,0,-1,-1,0,0,0,0,0,0,
Calibration,1951013.000,0,4.979309,4.974274,-0.1704712,0.4439545,0.8796692,-0.1394196,0.4418488,0.8861847,
Calibration,1951096.000,0,5.134415,4.560959,-0.0242157,0.3609009,0.9322815,0.04872131,0.3730164,0.9265289,
Calibration,1951179.000,0,5.046097,4.546844,-0.02865601,0.3596191,0.9326477,0.04234314,0.363327,0.9306946,
Calibration,1951263.000,0,5.0513,4.512695,-0.02464294,0.3603821,0.9324646,0.04164124,0.360733,0.9317322,
Calibration,1951346.000,0,5.026199,4.485077,-0.01972961,0.3546753,0.9347687,0.03848267,0.3542023,0.9343719,
Calibration,1951429.000,0,5.008942,4.505386,-0.02490234,0.351059,0.9360046,0.03364563,0.3524628,0.9352112,
Calibration,1951513.000,0,4.983124,4.498337,-0.02671814,0.3473206,0.9373627,0.03440857,0.35289,0.9350281,
Calibration,1951596.000,0,4.979401,4.49556,-0.02389526,0.3445129,0.9384613,0.0349884,0.3506775,0.9358368,
Calibration,1951679.000,0,4.988052,4.523087,-0.02128601,0.3419952,0.9394531,0.03442383,0.3529053,0.9350128,
Calibration,1951763.000,0,5.012405,4.51506,-0.02062988,0.3434448,0.9389343,0.03526306,0.3470001,0.9371948,
Calibration,1951846.000,0,5.065094,4.536987,-0.01779175,0.3432465,0.9390717,0.03623962,0.3461914,0.9374542,
Calibration,1951929.000,0,5.074341,4.585419,-0.01669312,0.341156,0.9398499,0.03479004,0.3408203,0.9394684,
Calibration,1952012.000,0,5.077896,4.642242,-0.01579285,0.3437042,0.9389343,0.02799988,0.3398285,0.9400635,
Calibration,1952096.000,0,5.100586,4.712326,-0.016922,0.3482819,0.9372253,0.02844238,0.3413391,0.9394989,
Calibration,1952179.000,0,5.100937,4.685806,-0.01899719,0.3484192,0.9371338,0.02912903,0.3434601,0.9387054,
Calibration,1952262.000,0,5.074692,4.690369,-0.01942444,0.3476715,0.9374084,0.02891541,0.3484955,0.9368591,
Calibration,1952346.000,0,5.077271,4.674576,-0.01959229,0.3476105,0.9374237,0.03024292,0.3448029,0.9381866,
Calibration,1952429.000,0,5.1353,4.705841,-0.0189209,0.3472137,0.9375916,0.03016663,0.3460388,0.9377289,
Calibration,1952512.000,0,5.115555,4.699966,-0.01876831,0.3464355,0.9378815,0.02476501,0.34758,0.9373169,
Calibration,1952596.000,0,5.095383,4.695328,-0.02006531,0.34198,0.9394836,0.02397156,0.3432312,0.9389343,
Calibration,1952679.000,0,5.095535,4.678207,-0.01954651,0.3418121,0.9395599,0.02998352,0.3388214,0.9403687,
Calibration,1952762.000,0,5.046295,4.660828,-0.01585388,0.3377991,0.9410706,0.02310181,0.3401031,0.940094,
Calibration,1952846.000,0,5.282745,4.69429,0.08268738,0.3089142,0.9474792,0.102356,0.3073883,0.9460602,
Calibration,1952929.000,0,5.257187,4.734802,0.08451843,0.3068085,0.947998,0.1039734,0.3053589,0.9465332,
Calibration,1953012.000,0,5.224808,4.739441,0.08863831,0.294754,0.9514465,0.1093292,0.3067322,0.9454803,
Calibration,1953096.000,0,5.191162,4.689484,0.09013367,0.2972717,0.9505157,0.1128845,0.3031311,0.946228,
Calibration,1953179.000,0,5.180344,4.702148,0.08560181,0.2897491,0.9532623,0.1172638,0.3036804,0.9455261,
Calibration,1953262.000,0,5.169922,4.728317,0.08493042,0.2873077,0.9540558,0.1184387,0.3011322,0.9461823,
Calibration,1953346.000,0,5.175156,4.702744,0.0871582,0.285141,0.9544983,0.1172943,0.3058472,0.9448242,
Calibration,1953429.000,0,5.198944,4.674164,0.0849762,0.2840576,0.9550323,0.1061859,0.2982025,0.9485626,
Calibration,1953512.000,0,5.202576,4.667831,0.08381653,0.2832642,0.955368,0.1079407,0.300827,0.9475403,
Calibration,1953595.000,0,4.97496,4.55687,0.0196228,-0.005218506,0.9997864,0.01246643,-0.03872681,0.9991608,
Calibration,1953679.000,0,5.096954,4.71965,0.02001953,-0.07736206,0.9967957,0.03591919,-0.1033173,0.993988,
Calibration,1953762.000,0,4.995575,4.594604,0.02035522,-0.04249573,0.9988861,0.03567505,-0.05953979,0.9975739,
Calibration,1953845.000,0,5.016632,4.627396,0.004623413,-0.01376343,0.9998932,0.04701233,-0.02236938,0.998642,
Calibration,1953929.000,0,5.074997,4.634583,0.0144043,0.02394104,0.9996033,0.04989624,-0.01142883,0.9986877,
Calibration,1954012.000,0,5.102295,4.671661,0.01965332,0.0496521,0.9985657,0.06266785,0.007858276,0.9980011,
Calibration,1954095.000,0,5.154984,4.724243,0.04669189,0.07562256,0.9960327,0.08047485,0.06668091,0.9945221,
Calibration,1954179.000,0,5.190735,4.75383,0.05154419,0.1234894,0.9909973,0.07926941,0.0818634,0.9934692,
Calibration,1954262.000,0,5.140549,4.764908,0.04980469,0.1427765,0.9884949,0.07658386,0.09501648,0.9925232,
Calibration,1954345.000,0,5.157898,4.794479,0.06816101,0.1571503,0.9852142,0.0806427,0.1269684,0.9886169,
Calibration,1954429.000,0,5.192322,4.833923,0.04554749,0.1622467,0.9856873,0.07051086,0.1406097,0.9875488,
Calibration,1954512.000,0.05099837,5.190063,4.780838,0.05433655,0.1687164,0.9841614,0.06828308,0.1616974,0.9844666,
Calibration,1954595.000,0.05099837,5.188751,4.866638,0.04803467,0.1687927,0.9844666,0.07878113,0.1546326,0.9848175,
Calibration,1954679.000,0.05099837,5.211609,4.845551,0.05006409,0.1590881,0.9859772,0.07469177,0.1585083,0.9845276,
Calibration,1954762.000,0.05099837,5.256195,4.839508,0.05300903,0.1602478,0.9856415,0.06945801,0.1524353,0.9858551,
Calibration,1954845.000,0.05099837,5.15976,4.815323,0.04878235,0.1449432,0.9882202,0.07304382,0.1511688,0.9857941,
Calibration,1954929.000,0.05099837,4.707352,4.683792,-0.004638672,0.162323,0.9867249,0.08300781,0.1672821,0.9823914,
Calibration,1955012.000,0.05099837,4.710449,4.480988,0.001937866,0.16539,0.9862213,0.0824585,0.1621094,0.9833069,
Calibration,1955095.000,0.05099837,-1,-1,0,0,0,0,0,0,
Calibration,1955179.000,0.05099837,-1,-1,0,0,0,0,0,0,
Calibration,1955262.000,0.05099837,4.568787,4.279083,-0.05584717,0.1387482,0.988739,0.04161072,0.1324768,0.9903107,
Calibration,1955345.000,0.05099837,4.636688,4.328796,-0.07441711,0.1520996,0.9855499,0.04875183,0.1546021,0.9867706,
Calibration,1955428.000,0.05099837,4.664581,4.343231,-0.07498169,0.1546173,0.9851227,0.06234741,0.1519165,0.9864197,
Calibration,1955512.000,0.05099837,4.667053,4.352905,-0.06684875,0.1477966,0.9867401,0.06089783,0.1464386,0.9873352,
Calibration,1955595.000,0.05099837,4.745438,4.385925,-0.08430481,0.1432343,0.986084,0.06001282,0.1503448,0.9868011,
Calibration,1955678.000,0.05099837,4.78476,4.410278,-0.08319092,0.1405182,0.9865723,0.06130981,0.1510315,0.986618,
Calibration,1955762.000,0.05099837,4.810944,4.443481,-0.08348083,0.1373138,0.9869995,0.06044006,0.1277161,0.9899597,
Calibration,1955845.000,0.05099837,4.78949,4.45343,-0.0818634,0.1372223,0.9871368,0.06871033,0.1229706,0.9900208,
Calibration,1955928.000,0.05099837,4.861237,4.500214,-0.1419678,0.0932312,0.9854584,0.01496887,0.08898926,0.9959106,
Calibration,1956012.000,0.05099837,4.850327,4.504318,-0.1367645,0.09571838,0.9859619,0.01171875,0.09036255,0.9958344,
Calibration,1956095.000,0.05099837,4.83046,4.520569,-0.1205902,0.08360291,0.9891663,0.008026123,0.09901428,0.9950409,
Calibration,1956178.000,0.05099837,4.822983,4.519913,-0.1230774,0.08375549,0.9888458,0.009460449,0.09475708,0.9954529,
Calibration,1956262.000,0.05099837,4.844589,4.531952,-0.1287384,0.08197021,0.9882813,0.01023865,0.08654785,0.9961853,
Calibration,1956345.000,0.05099837,4.861374,4.581696,-0.1261597,0.0892334,0.9879761,0.01889038,0.08795166,0.9959412,
